UA,SU,DOMINIO,v,bio,carbono
PR_290,3,Floresta Ombrófila Mista,0.667550579371436,502.581024,246.26470176
PR_290,4,Floresta Ombrófila Mista,10.835028961001044,4917.075130000001,2409.366813700002
PR_291,1,Floresta Ombrófila Mista,16.063631469341047,7646.829734000001,3746.94656966
PR_291,2,Floresta Ombrófila Mista,1.1696342352045297,1048.7443899999998,513.8847510999999
PR_291,3,Floresta Ombrófila Mista,0.21406438427208443,125.53991999999998,61.51456079999999
PR_291,4,Floresta Ombrófila Mista,,,
PR_292,1,Floresta Ombrófila Mista,10.08564515982927,5189.027177999999,2542.6233172199995
PR_292,2,Floresta Ombrófila Mista,7.628248109088475,3871.688798,1897.1275110200002
PR_292,3,Floresta Ombrófila Mista,2.0047165494025267,873.8670499999998,428.1948544999998
PR_292,4,Floresta Ombrófila Mista,,,
PR_293,1,Floresta Ombrófila Mista,,,
PR_293,2,Floresta Ombrófila Mista,,,
PR_293,3,Floresta Ombrófila Mista,0.09719905901626415,69.932808,34.267075919999996
PR_293,4,Floresta Ombrófila Mista,,,
PR_294,1,Floresta Ombrófila Mista,,,
PR_294,2,Floresta Ombrófila Mista,,,
PR_294,3,Floresta Ombrófila Mista,,,
PR_294,4,Floresta Ombrófila Mista,,,
PR_295,1,Floresta Ombrófila Mista,,,
PR_295,2,Floresta Ombrófila Mista,4.261826529944282,2288.7960099999996,1121.5100449000001
PR_295,3,Floresta Ombrófila Mista,,,
PR_295,4,Floresta Ombrófila Mista,1.282190193682059,656.9475440000001,321.90429656
PR_296,1,Floresta Ombrófila Mista,7.092805198200613,3459.2846820000004,1695.0494941799998
PR_296,2,Floresta Ombrófila Mista,0.71287913697136,398.62093,195.32425569999998
PR_296,3,Floresta Ombrófila Mista,3.9115115046855142,2552.3580979999997,1250.65546802
PR_296,4,Floresta Ombrófila Mista,3.4108122756716197,1288.7139359999999,631.46982864
PR_299,1,Floresta Ombrófila Mista,27.040054233360113,15262.212016000001,7478.483887840001
PR_299,2,Floresta Ombrófila Mista,28.42848872750167,14922.190089999993,7311.873144099996
PR_299,3,Floresta Ombrófila Mista,46.37883807358274,21086.150159999994,10332.213578399997
PR_299,4,Floresta Ombrófila Mista,45.20070688489316,22635.05487,11091.176886299998
PR_322,1,Floresta Ombrófila Mista,12.63295945945752,6482.260139999999,3176.3074686
PR_322,2,Floresta Ombrófila Mista,12.910412989711249,5865.423430000001,2874.0574806999994
PR_322,3,Floresta Ombrófila Mista,,,
PR_322,4,Floresta Ombrófila Mista,6.768321535553344,3629.43238,1778.4218661999998
PR_323,1,Floresta Ombrófila Mista,,,
PR_323,2,Floresta Ombrófila Mista,,,
PR_323,3,Floresta Ombrófila Mista,,,
PR_323,4,Floresta Ombrófila Mista,0.06975098771113541,37.093433999999995,18.175782659999996
PR_324,1,Floresta Ombrófila Mista,0.19565847570031328,97.51951399999999,47.78456186
PR_324,2,Floresta Ombrófila Mista,28.15560540121081,12790.313758000006,6267.2537414200015
PR_324,3,Floresta Ombrófila Mista,35.654815680732604,15320.45844,7507.024635599997
PR_324,4,Floresta Ombrófila Mista,6.815333638966724,3387.2484199999994,1659.7517258000005
PR_325,1,Floresta Ombrófila Mista,6.534521772001726,3203.7357540000003,1569.8305194599996
PR_325,2,Floresta Ombrófila Mista,,,
PR_325,3,Floresta Ombrófila Mista,,,
PR_325,4,Floresta Ombrófila Mista,,,
PR_326,1,Floresta Ombrófila Mista,,,
PR_326,2,Floresta Ombrófila Mista,3.181960263054663,1419.8321879999999,695.7177721200001
PR_326,3,Floresta Ombrófila Mista,0.07081860131481618,40.35858400000001,19.775706160000002
PR_326,4,Floresta Ombrófila Mista,,,
PR_327,1,Floresta Ombrófila Mista,,,
PR_327,2,Floresta Ombrófila Mista,,,
PR_327,3,Floresta Ombrófila Mista,14.496763018721051,8283.356142,4058.84450958
PR_327,4,Floresta Ombrófila Mista,15.090428013758817,8000.2257899999995,3920.1106371000005
PR_328,1,Floresta Ombrófila Mista,,,
PR_328,2,Floresta Ombrófila Mista,,,
PR_328,3,Floresta Ombrófila Mista,,,
PR_328,4,Floresta Ombrófila Mista,,,
PR_329,1,Floresta Ombrófila Mista,13.043503645842152,5670.417702,2778.504673979999
PR_329,2,Floresta Ombrófila Mista,0.8037036245158423,382.17616799999996,187.26632231999997
PR_329,3,Floresta Ombrófila Mista,19.95649034020344,9630.674250000004,4719.030382500001
PR_329,4,Floresta Ombrófila Mista,4.097995463935236,2104.613882,1031.26080218
PR_330,1,Floresta Ombrófila Mista,,,
PR_330,2,Floresta Ombrófila Mista,,,
PR_330,3,Floresta Ombrófila Mista,,,
PR_330,4,Floresta Ombrófila Mista,0.7059336399987733,268.81076199999995,131.71727337999997
PR_331,1,Floresta Ombrófila Mista,,,
PR_331,2,Floresta Ombrófila Mista,2.1255150922728157,636.045632,311.66235968000007
PR_331,3,Floresta Ombrófila Mista,22.77724882886192,10462.938319999997,5126.839776800001
PR_331,4,Floresta Ombrófila Mista,14.244811023814668,6312.732710000002,3093.2390279
PR_332,1,Floresta Ombrófila Mista,14.278971242068723,7087.640498000002,3472.94384402
PR_332,2,Floresta Ombrófila Mista,15.281675300017467,6427.165217999999,3149.3109568199993
PR_332,3,Floresta Ombrófila Mista,,,
PR_332,4,Floresta Ombrófila Mista,25.31544470767558,12150.025060000002,5953.5122794
PR_333,1,Floresta Ombrófila Mista,,,
PR_333,2,Floresta Ombrófila Mista,5.264653357160894,1612.5582360000003,790.15353564
PR_333,3,Floresta Ombrófila Mista,,,
PR_333,4,Floresta Ombrófila Mista,,,
PR_357,1,Floresta Ombrófila Mista,1.9882014468572913,1166.6685019999998,571.6675659799998
PR_357,2,Floresta Ombrófila Mista,0.454148617005636,420.7327200000001,206.15903280000003
PR_357,3,Floresta Ombrófila Mista,1.423059426091089,1138.63159,557.9294791
PR_357,4,Floresta Ombrófila Mista,2.3495860930195716,1558.50442,763.6671657999999
PR_358,1,Floresta Ombrófila Mista,8.798359903173806,4683.990413999999,2295.155302860001
PR_358,2,Floresta Ombrófila Mista,,,
PR_358,3,Floresta Ombrófila Mista,9.609314010284477,5279.611832000001,2587.009797680001
PR_358,4,Floresta Ombrófila Mista,6.969875264787971,3454.7585780000004,1692.8317032199998
PR_359,1,Floresta Ombrófila Mista,,,
PR_359,2,Floresta Ombrófila Mista,9.209904852343271,4701.872162000001,2303.9173593800006
PR_359,3,Floresta Ombrófila Mista,3.443127698237675,2133.35313,1045.3430337
PR_359,4,Floresta Ombrófila Mista,2.3738445247284847,1268.920642,621.77111458
PR_360,1,Floresta Ombrófila Mista,39.56431520744342,16804.013156,8233.966446440001
PR_360,2,Floresta Ombrófila Mista,33.8675386717482,14915.162310000002,7308.4295319
PR_360,3,Floresta Ombrófila Mista,45.19154928744563,20643.607222000002,10115.367538780001
PR_360,4,Floresta Ombrófila Mista,44.77071689908639,19837.194679999997,9720.225393200002
PR_361,1,Floresta Ombrófila Mista,23.12156606571301,10693.451679999998,5239.7913232
PR_361,2,Floresta Ombrófila Mista,31.082603322826287,15516.780100000002,7603.222248999998
PR_361,3,Floresta Ombrófila Mista,20.708268189818405,10790.044995999999,5287.122048040001
PR_361,4,Floresta Ombrófila Mista,30.342116305203618,14940.796956000002,7320.99050844
PR_362,1,Floresta Ombrófila Mista,63.764413909811964,31757.51504200001,15561.182370579996
PR_362,2,Floresta Ombrófila Mista,21.458311469717373,7501.038389999999,3675.5088110999995
PR_362,3,Floresta Ombrófila Mista,26.332399396565474,8904.796341999998,4363.350207580001
PR_362,4,Floresta Ombrófila Mista,30.12230589131413,10393.138563999997,5092.637896359998
PR_363,1,Floresta Ombrófila Mista,24.366893266142593,10898.290889999993,5340.162536100001
PR_363,2,Floresta Ombrófila Mista,19.906289376501512,8870.33644,4346.464855600002
PR_363,3,Floresta Ombrófila Mista,10.785542604276166,6547.741884000001,3208.3935231600003
PR_363,4,Floresta Ombrófila Mista,25.005212456625724,11326.85877199999,5550.160798279998
PR_364,1,Floresta Ombrófila Mista,3.7662082555749072,1931.46824,946.4194375999997
PR_364,2,Floresta Ombrófila Mista,10.875908386354865,5013.131094,2456.434236060001
PR_364,3,Floresta Ombrófila Mista,30.75054539942543,14783.019092,7243.679355079999
PR_364,4,Floresta Ombrófila Mista,18.380593490048888,8965.118389999996,4392.908011099999
PR_365,1,Floresta Ombrófila Mista,0.150047994120326,54.47036600000003,26.69047934000001
PR_365,2,Floresta Ombrófila Mista,0.14837687372223088,75.444048,36.96758352
PR_365,3,Floresta Ombrófila Mista,25.68360860640287,12347.548089999998,6050.298564099999
PR_365,4,Floresta Ombrófila Mista,2.443420527117953,1137.57738,557.4129161999999
PR_366,1,Floresta Ombrófila Mista,16.76861993772962,6162.007040000002,3019.3834496000013
PR_366,2,Floresta Ombrófila Mista,23.785761627009443,11708.164130000001,5737.000423699999
PR_366,3,Floresta Ombrófila Mista,41.60645398488438,20083.397214,9840.864634859996
PR_366,4,Floresta Ombrófila Mista,38.972186783156275,16398.608382899998,8035.318107620997
PR_367,1,Floresta Ombrófila Mista,10.111697093356735,6175.128885999999,3025.8131541399994
PR_367,2,Floresta Ombrófila Mista,20.815034469761784,10718.42043,5252.026010700001
PR_367,3,Floresta Ombrófila Mista,4.673426211128405,2651.7596399999998,1299.3622235999999
PR_367,4,Floresta Ombrófila Mista,1.3915866273503286,999.2421259999999,489.62864174
PR_368,1,Floresta Ombrófila Mista,14.54953734759921,7495.534232,3672.8117736799995
PR_368,2,Floresta Ombrófila Mista,,,
PR_368,3,Floresta Ombrófila Mista,21.033324292298072,10690.07925,5238.138832499999
PR_368,4,Floresta Ombrófila Mista,23.762637359570114,12238.366300000002,5996.799486999999
PR_369,1,Estepe Gramíneo Lenhosa,,,
PR_369,2,Estepe Gramíneo Lenhosa,,,
PR_369,3,Estepe Gramíneo Lenhosa,,,
PR_369,4,Estepe Gramíneo Lenhosa,,,
PR_390,1,Floresta Ombrófila Mista,10.292047130584468,5528.5099199999995,2708.969860800001
PR_390,2,Floresta Ombrófila Mista,26.225460165920996,12669.973898,6208.28721002
PR_390,3,Floresta Ombrófila Mista,0.9522767389841135,506.577718,248.22308182
PR_390,4,Floresta Ombrófila Mista,0.14213754464940292,67.88199999999999,33.26218
PR_391,1,Floresta Ombrófila Mista,,,
PR_391,2,Floresta Ombrófila Mista,2.004391031124072,1413.087,692.41263
PR_391,3,Floresta Ombrófila Mista,,,
PR_391,4,Floresta Ombrófila Mista,,,
PR_392,1,Floresta Ombrófila Mista,,,
PR_392,2,Floresta Ombrófila Mista,,,
PR_392,3,Floresta Ombrófila Mista,,,
PR_392,4,Floresta Ombrófila Mista,,,
PR_393,1,Floresta Ombrófila Mista,,,
PR_393,2,Floresta Ombrófila Mista,,,
PR_393,3,Floresta Ombrófila Mista,,,
PR_393,4,Floresta Ombrófila Mista,,,
PR_394,1,Floresta Ombrófila Mista,29.331506610688045,14816.986855999998,7260.32355944
PR_394,2,Floresta Ombrófila Mista,42.52149584019268,20394.947576000002,9993.524312240004
PR_394,3,Floresta Ombrófila Mista,,,
PR_394,4,Floresta Ombrófila Mista,51.7112138171797,26326.443858,12899.95749042
PR_396,1,Floresta Ombrófila Mista,12.938064372823677,6884.930837999999,3373.6161106199997
PR_396,2,Floresta Ombrófila Mista,0.6657879183721216,572.3665000000001,280.459585
PR_396,3,Floresta Ombrófila Mista,0.31607463174220685,209.08544999999998,102.45187049999998
PR_396,4,Floresta Ombrófila Mista,1.8157006210622926,982.716332,481.53100267999986
